year,title,category,nominee,artist,winner,track_id,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
2019,62nd Annual GRAMMY Awards  (2019),Best World Music Album,Gece,Altin Gün,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best World Music Album,What Heat,Bokanté & Metropole Orkest Conducted By Jules Buckley,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best World Music Album,African Giant,Burna Boy,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best World Music Album,Fanm D'ayiti,Nathalie Joachim With Spektral Quartet,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Children's Music Album,Ageless: Songs for the Child Archetype,Jon Samson,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Children's Music Album,Flying High!,Caspar Babypants,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Children's Music Album,I Love Rainy Days,Daniel Tashian,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Children's Music Album,The Love,Alphabet Rockers,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Children's Music Album,Winterland,The Okee Dokee Brothers,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Musical Theater Album,Hadestown,Unknown,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
2019,62nd Annual GRAMMY Awards  (2019),Best Musical Theater Album,Ain't Too Proud: The Life And Times Of The Temptations,Unknown,True,N/A,N/A,N/A,,,N/A,,,,,,,,,,,,N/A
